Utility Level Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility Characteristics,,,,,,Photovoltaic,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,All Technologies,,,,,,,,,,,,,,
,,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
Year,Month,State,Utility Number,Utility Name,Data Status,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2014,1,AK,599,Anchorage Municipal Light and Power,Final,.,0.018,.,.,0.018,.,1,.,.,1,.,0.000,.,.,0.000,.,0.005,.,.,0.005,.,1,.,.,1,.,0.002,.,.,0.002,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.000,0.023,0.000,0.000,0.023,0,2,0,0,2,0.000,0.002,0.000,0.000,0.002
2014,1,AK,3522,Chugach Electric Assn Inc,Final,0.008,0.011,.,.,0.019,2,2,.,.,4,.,.,.,.,0.000,.,0.010,.,.,0.010,.,4,.,.,4,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.008,0.021,0.000,0.000,0.029,2,6,0,0,8,0.000,0.000,0.000,0.000,0.000
2014,1,AK,7353,Golden Valley Elec Assn Inc,Final,0.104,0.066,0.019,.,0.189,26,7,3,.,36,0.000,0.000,0.000,.,0.000,0.013,0.005,0.000,.,0.018,4,1,0,.,5,0.098,0.000,0.000,.,0.098,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.117,0.071,0.019,0.000,0.207,30,8,3,0,41,0.098,0.000,0.000,0.000,0.098
2014,1,AK,11824,Matanuska Electric Assn Inc,Final,0.035,0.017,0.000,0.000,0.052,11,4,0,0,15,0.000,0.000,0.000,0.000,0.000,0.041,0.015,0.000,0.000,0.056,15,4,0,0,19,0.000,0.000,0.000,0.000,0.000,0.016,0.000,0.000,0.000,0.016,3,0,0,0,3,0.000,0.000,0.000,0.000,0.000,0.092,0.032,0.000,0.000,0.124,29,8,0,0,37,0.000,0.000,0.000,0.000,0.000
2014,1,AK,19558,Homer Electric Assn Inc,Final,0.083,0.010,.,.,0.093,27,4,.,.,31,0.365,0.002,.,.,0.367,0.103,0.020,.,.,0.123,29,4,.,.,33,2.003,0.868,.,.,2.871,0.000,0.000,.,.,0.000,0,0,.,.,0,0.000,0.000,.,.,0.000,0.186,0.030,0.000,0.000,0.216,56,8,0,0,64,2.368,0.870,0.000,0.000,3.238
2014,1,AK,99999,State Adjustment,Final,0.015,.,.,.,0.015,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,1,AL,195,Alabama Power Co,Final,0.199,0.200,0.000,0.000,0.399,53,16,0,0,69,6.147,10.432,0.000,0.000,16.579,0.000,0.002,0.000,0.000,0.002,0,1,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,.,0.000,0.000,0,0,.,0,0,0.000,0.000,.,0.000,0.000,0.199,0.202,0.000,0.000,0.401,53,17,0,0,70,6.147,10.432,0.000,0.000,16.579
2014,1,AL,4958,Decatur Utilities,Final,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000
2014,1,AL,9739,Joe Wheeler Elec Member Corp,Final,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000
