Utility Level Data - States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility Characteristics,,,,,,Photovoltaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,All Technologies,,,,,,,,,,,,,,
,,,,,,Capacity MW,,,,,,Customers,,,,,Storage Capacity (MW),,,,,Storage Customers,,,,,Virtual Capacity (MW),,,,,Virtual Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
Year,Month,State,Utility Number,Utility Name,Data Status,Type,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2017,1,AK,219,Alaska Power and Telephone Co,Final,,0.012,0.011,0.000,0.000,0.023,3,1,0,0,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.012,0.011,NM,0.000,0.023,3,1,0,0,4,0.000,0.000,0.000,0.000,0.000
2017,1,AK,599,Anchorage Municipal Light and Power,Final,,0.035,0.181,.,.,0.216,16,13,.,.,29,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.022,.,.,0.022,.,0.002,.,.,0.002,.,1,.,.,1,.,0.000,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.035,0.183,NM,0.000,0.218,16,14,0,0,30,0.000,0.022,0.000,0.000,0.022
2017,1,AK,3522,Chugach Electric Assn Inc,Final,,0.121,0.056,.,.,0.177,63,6,.,.,69,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,0.008,.,.,0.008,.,3,.,.,3,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.121,0.064,NM,0.000,0.185,63,9,0,0,72,0.000,0.000,0.000,0.000,0.000
2017,1,AK,7353,Golden Valley Elec Assn Inc,Final,,0.403,0.183,0.043,.,0.629,99,20,4,.,123,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.000,0.000,.,0.000,0.013,0.009,0.000,.,0.022,4,2,0,.,6,0.000,0.000,0.000,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.416,0.192,0.043,0.000,0.651,103,22,4,0,129,0.000,0.000,0.000,0.000,0.000
2017,1,AK,11824,Matanuska Electric Assn Inc,Final,,0.188,0.017,0.000,0.000,0.205,45,4,0,0,49,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.048,0.016,0.000,0.000,0.064,17,4,0,0,21,.,.,.,.,0.000,0.027,0.000,0.000,0.000,0.027,5,0,0,0,5,.,.,.,.,0.000,0.263,0.033,NM,0.000,0.296,67,8,0,0,75,0.000,0.000,0.000,0.000,0.000
2017,1,AK,19558,Homer Electric Assn Inc,Final,,0.153,0.031,0.000,0.000,0.184,52,7,0,0,59,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.441,0.074,0.000,0.000,0.515,0.100,0.015,0.000,0.000,0.115,29,4,0,0,33,0.451,0.837,0.000,0.000,1.288,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.253,0.046,NM,0.000,0.299,81,11,0,0,92,0.892,0.911,0.000,0.000,1.803
2017,1,AK,99999,State Adjustment,Final,AC,0.029,0.023,.,.,0.052,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.029,0.023,.,.,0.052,.,.,.,.,.,.,.,.,.,.
2017,1,AL,195,Alabama Power Co,Final,,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,NM,NM,NM,0.000,NM,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000
2017,1,AL,99999,State Adjustment,Final,AC,NM,NM,NM,.,NM,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,NM,NM,NM,.,NM,.,.,.,.,.,.,.,.,.,.
